RUNNING: mem.p8
0x0073.0000: 0
0x0074.0000: 0
0x0075.0000: 0
0x0076.0000: 0
0x0077.0000: 0
0x0078.0000: 0
0x0079.0000: 0
0x007a.0000: 0
0x007b.0000: 0
0x007c.0000: 0
0x007d.0000: 0
0x007e.0000: 0
0x007f.0000: 0
0x0080.0000: 0
0x0081.0000: 0
0x0082.0000: 0
0x0083.0000: 0
0x0084.0000: 0
0x0085.0000: 0
0x0086.0000: 0
0x0087.0000: 0
0x0088.0000: 0
0x0089.0000: 0
0x008a.0000: 0
0x008b.0000: 0
0x008c.0000: 0
0x008d.0000: 0
0x008e.0000: 0
0x008f.0000: 0
0x0090.0000: 0
0x0091.0000: 0
0x0092.0000: 0
0x0093.0000: 0
0x0094.0000: 0
0x0095.0000: 1
0x0096.0000: 139
0x0097.0000: 41
0x0098.0000: 0
0x0099.0000: 0
0x009a.0000: 0
0x009b.0000: 0
0x009c.0000: 0
0x009d.0000: 0
0x009e.0000: 0
0x009f.0000: 0
0x00a0.0000: 0
0x00a1.0000: 0
0x00a2.0000: 0
0x00a3.0000: 0
0x00a4.0000: 0
0x00a5.0000: 0
0x00a6.0000: 0
0x00a7.0000: 0
0x00a8.0000: 0
0x00a9.0000: 0
0x00aa.0000: 0
0x00ab.0000: 0
0x00ac.0000: 0
0x00ad.0000: 0
0x00ae.0000: 0
0x00af.0000: 0
0x00b0.0000: 0
0x00b1.0000: 0
0x00b2.0000: 0
0x00b3.0000: 0
0x00b4.0000: 0
0x00b5.0000: 0
0x00b6.0000: 0
0x00b7.0000: 0
0x00b8.0000: 0
0x00b9.0000: 0
0x00ba.0000: 0
0x00bb.0000: 0
0x00bc.0000: 0
0x00bd.0000: 0
0x00be.0000: 0
0x00bf.0000: 0
0x00c0.0000: 0
0x00c1.0000: 0
0x00c2.0000: 0
0x00c3.0000: 0
0x00c4.0000: 0
0x00c5.0000: 0
0x00c6.0000: 0
0x00c7.0000: 0
0x00c8.0000: 0
0x00c9.0000: 0
0x00ca.0000: 0
0x00cb.0000: 0
0x00cc.0000: 0
0x00cd.0000: 0
0x00ce.0000: 0
0x00cf.0000: 0
0x00d0.0000: 0
0x00d1.0000: 0
0x00d2.0000: 0
0x00d3.0000: 0
0x00d4.0000: 0
0x00d5.0000: 0
0x00d6.0000: 0
0x00d7.0000: 0
0x00d8.0000: 0
0x00d9.0000: 0
0x00da.0000: 0
0x00db.0000: 0
0x00dc.0000: 0
0x00dd.0000: 0
0x00de.0000: 0
0x00df.0000: 0
0x00e0.0000: 0
0x00e1.0000: 0
0x00e2.0000: 0
0x00e3.0000: 0
0x00e4.0000: 0
0x00e5.0000: 0
0x00e6.0000: 0
0x00e7.0000: 0
0x00e8.0000: 0
0x00e9.0000: 0
0x00ea.0000: 0
0x00eb.0000: 0
0x00ec.0000: 0
0x00ed.0000: 0
0x00ee.0000: 0
0x00ef.0000: 0
0x00f0.0000: 0
0x00f1.0000: 0
0x00f2.0000: 0
0x00f3.0000: 0
0x00f4.0000: 0
0x00f5.0000: 0
0x00f6.0000: 0
0x00f7.0000: 0
0x00f8.0000: 0
0x00f9.0000: 0
0x00fa.0000: 0
0x00fb.0000: 0
0x00fc.0000: 0
0x00fd.0000: 0
0x00fe.0000: 0
0x00ff.0000: 0
